titulo;autor;categoria;paginas;disponivel;preco
Mindset;Carol S. Dweck;Desenvolvimento;312;False;37.90
Como Fazer Amigos e Influenciar Pessoas;Dale Carnegie;Desenvolvimento;288;True;34.90
Pai Rico, Pai Pobre;Robert Kiyosaki;Finanças;336;True;39.90
O Homem Mais Rico da Babilônia;George S. Clason;Finanças;160;False;29.90
A Psicologia Financeira;Morgan Housel;Finanças;304;True;44.90
Do Mil ao Milhão;Thiago Nigro;Finanças;192;True;42.90
O Investidor Inteligente;Benjamin Graham;Finanças;640;False;59.90
Código Limpo;Robert C. Martin;Tecnologia;464;True;89.90
Entendendo Algoritmos;Aditya Bhargava;Tecnologia;264;True;69.90
Java Efetivo;Joshua Bloch;Tecnologia;416;False;99.90
Use a Cabeça! Java;Kathy Sierra;Tecnologia;720;True;94.90
Spring in Action;Craig Walls;Tecnologia;520;True;109.90
O Programador Pragmático;Andrew Hunt;Tecnologia;352;False;84.90
Refatoração;Martin Fowler;Tecnologia;448;True;89.90
Padrões de Projeto;Erich Gamma;Tecnologia;416;True;79.90
